,coefficient
GHRL,-0.0006260576887086393
GLO1,0.0023722780905126263
GLRX,-0.00046235617714658167
GP1BA,-0.0010035350707156216
GP2,-0.00034057524194135597
GPR37,-0.0007101937402286347
GRAP2,0.0018729149430173303
GRK5,-6.346424143217417e-05
GSTA1,0.0006359131168512009
GUSB,0.002512342244917723
GYS1,-0.0
GZMH,0.0
HEBP1,-4.389799957913623e-05
HK2,-0.00029237700708459416
HMOX1,-0.0014698196539394005
HNRNPK,-0.0
HSPB1,-0.0
HSPG2,-0.002859026419860687
HYAL1,0.0027787034863392818
HYOU1,-0.0012791977169956926
ICAM1,0.0
ICAM2,0.0
ICAM3,0.0003508710611453711
ICAM5,0.0011484187411045148
IGFBP1,-0.0009287485667079569
IGFBP2,0.0012454791653523682
IGFBP3,-0.003546849504313089
IGFBP6,-0.0026673469288926123
IGFBP7,0.0013933368167773038
IGFBPL1,-0.0011612835917827404
IGSF8,0.00026979440176668227
IL18BP,0.0
IL1RL1,-0.0
IL2RA,-0.00011306583606659225
IL6R,-0.00024459486741917853
IL6ST,0.00028138004319648146
IRAG2,0.00032444211253855246
ITGB1,0.0
ITGB1BP2,0.0006969933594470187
ITGB2,-0.0024690225223927163
ITIH3,-0.0004985708892114522
KIT,-0.00247443783485424
KITLG,0.00038898320977879126
KYAT1,-0.0012676790754449655
LACTB2,-0.00011733338788447005
LBP,-0.00012579492264160524
LDLR,0.0008250535626171194
LEP,0.00685606709082092
LEPR,0.0005434483057419281
LGALS1,0.00017817132561348835
LGALS3,0.004482980527550758
LILRA5,0.0017758661740304564
LILRB1,-0.0
LILRB2,-0.00023653224470166807
LILRB5,-0.0005972355645198174
LPL,-0.0
LRP11,0.0020415120274106793
LTBP2,0.002621210281338495
MARCO,-6.71983074789417e-05
MB,-0.0007203519943943055
MCAM,0.0002119072331034567
MCFD2,0.0
MEGF9,0.0006334245422851266
MEP1B,-0.001432288362508987
MET,-0.0028216409407772116
MFAP3,-2.6045244924127697e-05
MFAP5,-0.0018024599320142331
MMP7,0.0012399914077783917
MNDA,0.00014954205593761523
MPHOSPH8,0.0
MSMB,-0.000375522800122767
MSTN,0.0
MTPN,0.0
NADK,-0.0022275034378200303
NCAM1,-0.0012383037280374973
NECTIN2,-0.0
NID1,-0.0007708693681509909
NOTCH1,0.0
NOTCH3,-7.458164948558754e-05
NPDC1,-0.0
NPPB,0.0019002127320721066
NPTXR,-0.00023063779973802722
NRCAM,-0.0
NRP1,0.0016745722268757992
NTRK2,-0.0
OLR1,0.0013552449576052937
OSMR,0.0017530889985313517
PAG1,0.0009886496781631828
PAM,0.0006534556255333769
PCDH17,0.00016689938676735586
PCSK9,0.002975481223100585
PDCD6,0.00021662293509682137
PDGFA,0.0
PDGFRA,-0.00016506085163957998
PDGFRB,0.00012393678295658675
PEAR1,0.000907912832438138
PGLYRP1,-0.00048134441791677533
PILRB,0.0001852125755774174
