,coefficient,coefficient
CCL7,0.0005370933283080496,6.739423049033137e-05
CCL8,5.7386635737107776e-05,-0.0011545323531877226
CCN1,0.0005627982782316649,0.0
CCN2,0.0,0.001760057861464323
CCN3,0.0011192307004045362,0.0005745703433732224
CCN4,0.00022037467771154792,-0.0
CCN5,-0.0005691280335634729,-0.0019103890457263881
CCS,0.00010939709508563626,-0.0
CCT5,-0.0,-7.481599794052184e-05
CD109,0.00041586557622708766,0.0
CD14,-6.816584455638553e-05,-4.949498374436514e-05
CD160,-0.0,-0.00036273952462103796
CD163,0.0,0.0
CD164,0.0005803910059170538,0.00015420636878345635
CD177,-7.084441218485546e-05,-0.00026707430077087875
CD1C,0.0004949309910401927,0.0
CD200,0.00017144542803668915,0.0
CD200R1,-0.000507243891026644,-1.0403701554951556e-05
CD207,-0.0,7.5726048181071e-06
CD209,-0.0013499166982222156,-0.0007354636431115101
CD22,0.0001486015021228839,0.0
CD244,0.00013994899050081826,0.0
CD27,0.0020960914812337412,0.0006228879238266089
CD274,-0.0,-0.000575873634496111
CD276,0.0007091098524074985,0.0011929509410917936
CD28,-0.0,-0.0005665075719270357
CD2AP,-0.00038819779550242284,-0.0011798138673207875
CD300C,0.0,-0.0
CD300E,0.00015507303713905166,0.0010824058205245806
CD300LF,0.0,0.0
CD300LG,0.00020654081301073825,0.0013133764982387398
CD302,0.001962905167744723,0.0033283479522241036
CD33,0.00037518893824962755,0.0006816096130441301
CD34,0.0015486927749042564,0.001404787359525661
CD38,-0.0013497283506646006,-0.0019047411991776543
CD4,0.0,0.0002211149101950804
CD40,0.0,0.0016586516132811701
CD40LG,0.0007043776744665207,0.0
CD46,0.0,-0.0016304371765538852
CD48,0.0,0.0001783494775631703
CD5,0.00011026262811029741,0.0
CD58,0.0,0.000659963552152511
CD6,-0.0005542527111881013,0.0
CD63,-0.0017704033539146186,-0.001755934445220142
CD69,0.0,0.0
CD70,0.0,9.88656897619421e-05
CD74,0.0008700429305921513,0.0009686088312709086
CD79B,-0.0,0.0007332023700418911
CD83,-0.0,0.0004033829426773596
CD84,0.0,-0.00022982448821220658
CD8A,0.00042502313503311594,0.0001300013276828599
CD99,0.0008153068020825617,0.0
CD99L2,-0.0,0.000552182487868625
CDC27,-0.0,-0.0
CDC37,-0.0,0.0
CDCP1,0.0019214218744635304,0.001144175348198426
CDH15,-0.0018027539006766978,-0.0009148623528576205
CDH17,0.0,-0.0
CDH2,-0.0,-0.0
CDH3,-0.00449342523531755,-0.004139615382430571
CDH5,-0.0,-0.00016976755449269083
CDH6,0.0,0.0005840216794503789
CDHR1,0.00028884313136991354,0.0
CDHR2,-0.0011573826929992656,-0.001752090094385289
CDHR5,0.0010590350950946247,0.00031818543624200255
CDKN1A,0.0,7.680420781245395e-05
CDKN2D,0.0034621467383846296,0.0015969720645699194
CDNF,0.002044194915063537,0.001710351664061386
CDON,0.0,-0.0011325195482193547
CDSN,0.0007486233390256297,0.0002393898154098285
CEACAM1,-0.0012873938849690407,-0.0007892884647963021
CEACAM21,0.0,-0.0
CEACAM3,-0.0005585346167638116,-3.707887858655961e-05
CEACAM5,0.0010799459047721545,0.0015534810916710891
CEACAM8,-0.0,0.0
CEBPB,-0.0,-0.0005108460586376562
CELA3A,-0.0014225858166013311,-0.0015985263973025106
CEP164,0.00020845598190369165,0.000861942719247337
CEP20,0.0008089322384911394,-0.0
CEP43,0.00044352447212515754,0.0
CEP85,0.0,0.0
CERT,-0.00028707644628492,0.00032958865665412904
CES1,-0.0,8.203846688501545e-05
