outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb_ffs,0,2160,274,0.5110479400600566,0.054718335143837574,1.6670372350136078,1.497507372025967,1.855759240211357,9.668910693424866e-21,0.6243577451631143,,,,,,1.67 (1.5; 1.86),nan (nan; nan),0.62
CVD_inc,aa_Gaddprot,5,2063,191,0.3241609917301064,0.06034037408764052,1.3828699198205008,1.2286254592601118,1.5564785840397435,7.7778663964636e-08,0.6300475196231615,0.07093152699303848,1.0735077170503184,0.9299050357472151,1.239286566117553,0.3329948489642983,1.38 (1.23; 1.56),1.07 (0.93; 1.24),0.63
CVD_inc,aa_Gaddprot,6,2063,191,0.23986493542771187,0.06658300758911846,1.2710774611934652,1.115569055692678,1.448263470656099,0.00031517776514942167,0.6605965072385614,0.15470576123497154,1.1673144414095578,1.0074271505333117,1.3525772105724594,0.03954984125846988,1.27 (1.12; 1.45),1.17 (1.01; 1.35),0.66
CVD_inc,aa_Gaddprot,7,2041,191,0.2360265259708032,0.06741777711780217,1.2662078971151243,1.1094785286219395,1.4450774822187042,0.00046359612744693694,0.6641408607014124,0.14709774220104696,1.1584671886291629,0.9995572117841309,1.3426407326249084,0.050691688310790545,1.27 (1.11; 1.45),1.16 (1.0; 1.34),0.66
CVD_inc,aa_Gaddprot,8,2030,190,0.18822854945644213,0.07230307698612864,1.2071093680153422,1.0476160168168043,1.3908846399445636,0.009232386052381374,0.6738213007539714,0.12997931721526962,1.1388048294259057,0.9785205628059873,1.3253440845482771,0.09307167309223444,1.21 (1.05; 1.39),1.14 (0.98; 1.33),0.67
CVD_inc,aa_Gaddprot,9,1982,189,0.19821263513162093,0.07318632832315536,1.2192216156095468,1.0562977095326895,1.4072749893845624,0.00676230063523198,0.6821594928390575,0.13766053866135233,1.1475859230925716,0.9840630567822014,1.3382815682427407,0.07923611348112802,1.22 (1.06; 1.41),1.15 (0.98; 1.34),0.68
cancer_inc,aa_Gaddprot,0,1955,341,-0.006606078158528058,0.06114152522447948,0.9934156940065343,0.8812259063351191,1.119888480358847,0.9139594505260846,0.544095755533222,,,,,,0.99 (0.88; 1.12),nan (nan; nan),0.54
cancer_inc,aa_Gaddprot,1,1955,341,0.17775491919899009,0.048889717153655345,1.1945325283684263,1.0853829069474743,1.3146585893298193,0.00027708221339322036,0.5569291530965137,,,,,,1.19 (1.09; 1.31),nan (nan; nan),0.56
cancer_inc,aa_Gaddprot,2,1935,334,0.21044254913585766,0.05002577646145147,1.234224143941689,1.1189534501687384,1.36136962378451,2.591470320131728e-05,0.5861261902184279,,,,,,1.23 (1.12; 1.36),nan (nan; nan),0.59
cancer_inc,aa_Gaddprot,3,1924,334,0.18216364002426558,0.05314337222355867,1.1998105148382092,1.081127571788123,1.3315221155033565,0.0006085446543013032,0.5904335526401163,,,,,,1.2 (1.08; 1.33),nan (nan; nan),0.59
cancer_inc,aa_Gaddprot,4,1878,328,0.2029617280205551,0.05547818729996995,1.2250255831963734,1.0988085747896337,1.3657407795283367,0.0002537888833088389,0.5933509658117805,,,,,,1.23 (1.1; 1.37),nan (nan; nan),0.59
