"Name","r2_val","r2_train","concordance_val","concordance_train","ID","Notes","State","Created","Runtime","architecture","target","batch_size","add_age","beta","dset","gamma","lr","n_epochs","weight_decay","init","max_depth","n_trees","alpha","l1_ratio","cosim_train","cosim_val","training_loss","validation_loss","var_t","in_dim","combine_sets","nested_batch_size","seed","bootstrap","score_test","score_train"
"snowy-microwave-1004","0","0","0.7293168452319254","0.8617198891413672","v9646tqm","-","finished","2025-01-03T15:25:50.000Z","3158","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.532788877564997","7.048122067357763","0","344","true","1000","3","true","",""
"stoic-river-1020","0","0","0.7281368801387899","0.8633863960555492","bpn6thka","-","finished","2025-01-03T15:25:51.000Z","2684","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.522669854836407","7.087445791136925","0","344","true","1000","20","true","",""
"generous-pond-1083","0","0","0.728036368471584","0.8676360103842574","s33z56is","-","finished","2025-01-03T16:55:22.000Z","2651","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.467572272894454","7.062739456749621","0","344","true","1000","80","true","",""
"silver-fire-1015","0","0","0.7280217105201164","0.8635158384048433","vgi8jxc2","-","finished","2025-01-03T15:25:51.000Z","2688","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.49502863674449","7.096210654405987","0","344","true","1000","17","true","",""
"serene-spaceship-1091","0","0","0.7278866479673086","0.8612541396801613","8w9xmpuj","-","finished","2025-01-03T17:10:12.000Z","3101","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.526564022823006","7.092747102998271","0","344","true","1000","88","true","",""
"summer-resonance-1101","0","0","0.72785314407824","0.863017470209129","lhl7oqt8","-","finished","2025-01-03T17:38:53.000Z","3009","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.498430868909958","7.067524223998702","0","344","true","1000","97","true","",""
"easy-meadow-1012","0","0","0.7277924182793031","0.8662167921518765","x2blw3cg","-","finished","2025-01-03T15:25:50.000Z","3149","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.47267210430702","7.081815914317603","0","344","true","1000","8","true","",""
"icy-sea-1050","0","0","0.7273285988150093","0.8661066686559135","7ijlzu8u","-","finished","2025-01-03T16:10:53.000Z","2654","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.488309550305303","7.124327534441985","0","344","true","1000","47","true","",""
"magic-meadow-1071","0","0","0.7266993538984392","0.8672113065598067","24z500fw","-","finished","2025-01-03T16:54:49.000Z","2630","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.51438401869025","7.076632275583864","0","344","true","1000","68","true","",""
"faithful-paper-1025","0","0","0.7265548683768308","0.8595316143564711","y4ycc71z","-","finished","2025-01-03T15:25:51.000Z","2670","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.513946948978841","7.101882948364168","0","344","true","1000","28","true","",""
"frosty-bush-1030","0","0","0.726518223498162","0.8635530085406697","vmdjo0k3","-","finished","2025-01-03T15:25:51.000Z","2687","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.531310542640908","7.112712928516968","0","344","true","1000","26","true","",""
"volcanic-silence-1080","0","0","0.726364315007753","0.8582137730419462","lgraf2sn","-","finished","2025-01-03T16:55:15.000Z","2640","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.498198956072905","7.0638032473756285","0","344","true","1000","77","true","",""
