outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb,8,581,38,0.4514336112125473,0.2016659887636073,1.570562147824326,1.057783346846637,2.331919355255448,0.02518708002748416,0.6453710393229436,0.34742434058681004,1.4154172169273602,1.0340813526405548,1.9373774537744468,0.030066610548943058,1.57 (1.06; 2.33),1.42 (1.03; 1.94),0.65
died,aa_coefs_frailty_cmb,9,581,38,0.42864035293821534,0.20375288682904744,1.5351688161473953,1.0297252643357835,2.28871076169195,0.0354023091210666,0.6672515223449272,0.34168899188908314,1.4073225407198342,1.0155669838282033,1.9501980323861798,0.04009534440807851,1.54 (1.03; 2.29),1.41 (1.02; 1.95),0.67
died,aa_coefs_mort_cmb,0,996,68,0.6391183972514013,0.09106061115923741,1.8948096733272246,1.5850926802587126,2.2650433901116926,2.2409543782130698e-12,0.7637830703701481,,,,,,1.89 (1.59; 2.27),nan (nan; nan),0.76
died,aa_coefs_mort_cmb,1,996,68,0.6688208534510454,0.09690701253730864,1.9519343464823213,1.6142760647046852,2.3602206439667275,5.139235648564564e-12,0.7698122262883197,,,,,,1.95 (1.61; 2.36),nan (nan; nan),0.77
died,aa_coefs_mort_cmb,2,993,68,0.7218506515445592,0.10281044093523359,2.0582387709352328,1.6826095470023021,2.5177242371697908,2.2000159246527544e-12,0.7635340495320634,,,,,,2.06 (1.68; 2.52),nan (nan; nan),0.76
died,aa_coefs_mort_cmb,3,993,68,0.6723353980910666,0.10797224787114516,1.9588065761826259,1.5852049119077714,2.4204588151815774,4.756700133727474e-10,0.7557702145586952,,,,,,1.96 (1.59; 2.42),nan (nan; nan),0.76
died,aa_coefs_mort_cmb,4,993,68,0.6739826268405296,0.11385940247383193,1.9620358376255154,1.5696023369189174,2.4525859433182786,3.230616471846242e-09,0.7635641419156811,,,,,,1.96 (1.57; 2.45),nan (nan; nan),0.76
died,aa_coefs_mort_cmb,5,583,38,0.4792096685468445,0.16249556823460332,1.6147976723485338,1.174361043779963,2.2204172527974424,0.003187389895948968,0.732093310040078,0.24078426936132713,1.272246543141807,0.8893008219036174,1.8200941983518186,0.18755278565015285,1.61 (1.17; 2.22),1.27 (0.89; 1.82),0.73
died,aa_coefs_mort_cmb,6,583,38,0.47640042164964047,0.17621895959469439,1.6102676729204746,1.1399878534154595,2.2745522863985608,0.006862227718970595,0.732093310040078,0.24143192149362855,1.273070783209894,0.8889538207562984,1.8231646922714124,0.18764459105656278,1.61 (1.14; 2.27),1.27 (0.89; 1.82),0.73
died,aa_coefs_mort_cmb,7,581,38,0.47461421666465514,0.17810199535753538,1.607393972049406,1.1337613349966054,2.278888247135807,0.007702380874141711,0.7364021054804417,0.241254915885047,1.272845462483249,0.8887156416197527,1.823007827803474,0.18808017521845216,1.61 (1.13; 2.28),1.27 (0.89; 1.82),0.74
died,aa_coefs_mort_cmb,8,581,38,0.4512292673272383,0.18627755264653542,1.5702412458412158,1.089950162819444,2.2621745968300964,0.015420527482526676,0.7304159355970689,0.25077530485952415,1.285021313845119,0.8932855163525302,1.8485464577761803,0.17647168964337323,1.57 (1.09; 2.26),1.29 (0.89; 1.85),0.73
died,aa_coefs_mort_cmb,9,581,38,0.440779143627054,0.18739179424679503,1.5539174718646884,1.0762663582043281,2.2435519710892273,0.01866376416466452,0.7505418515842708,0.2518388477041722,1.2863887160852214,0.8888324595218168,1.8617636103902515,0.18181871453965226,1.55 (1.08; 2.24),1.29 (0.89; 1.86),0.75
died,aa_coefs_mort_cmb_ffs,0,996,68,0.6686709858615248,0.10064963157517674,1.9516418367063268,1.6022378894627831,2.3772411599001315,3.0621393154531823e-11,0.7332773411722359,,,,,,1.95 (1.6; 2.38),nan (nan; nan),0.73
died,aa_coefs_mort_cmb_ffs,1,996,68,0.7300984071401186,0.11136337663915585,2.075284820470073,1.6683418012000917,2.5814896461717134,5.526986529674209e-11,0.7424260603515508,,,,,,2.08 (1.67; 2.58),nan (nan; nan),0.74
died,aa_coefs_mort_cmb_ffs,2,993,68,0.7642028525470814,0.11481317642842535,2.1472819918645945,1.7145885885763241,2.6891698587673947,2.8127444216979096e-11,0.7407240227498421,,,,,,2.15 (1.71; 2.69),nan (nan; nan),0.74
died,aa_coefs_mort_cmb_ffs,3,993,68,0.7084733125254576,0.12162068146064514,2.0308883588506528,1.6001560521562144,2.577565807133194,5.702032295416945e-09,0.7360296109054798,,,,,,2.03 (1.6; 2.58),nan (nan; nan),0.74
died,aa_coefs_mort_cmb_ffs,4,993,68,0.6918532368150467,0.12310768349225121,1.9974137860787056,1.5692010601468847,2.5424796950136,1.9106472758762807e-08,0.7443050164003491,,,,,,2.0 (1.57; 2.54),nan (nan; nan),0.74
died,aa_coefs_mort_cmb_ffs,5,583,38,0.4619195520356103,0.155633199889821,1.587117617708053,1.1698600022489802,2.1531998081794246,0.0029974298492943946,0.7084575069365944,0.2860520985435379,1.3311618050370204,0.9631037952467414,1.8398762001923634,0.08322042654704383,1.59 (1.17; 2.15),1.33 (0.96; 1.84),0.71
died,aa_coefs_mort_cmb_ffs,6,583,38,0.4779884671049735,0.17525389162699834,1.6128268827132293,1.1439614002699237,2.273862171388566,0.0063834495932180366,0.7109238516082622,0.28387729470378265,1.3282699349969476,0.9599513101440775,1.8379067787844305,0.08666014646957827,1.61 (1.14; 2.27),1.33 (0.96; 1.84),0.71
died,aa_coefs_mort_cmb_ffs,7,581,38,0.5093974023841219,0.1763560305209798,1.6642879967348514,1.1779150090434278,2.3514892966047474,0.003871328276677697,0.7231912478067912,0.27282415086198014,1.3136692169128676,0.9515024024615929,1.8136862366294713,0.09734325047033911,1.66 (1.18; 2.35),1.31 (0.95; 1.81),0.72
died,aa_coefs_mort_cmb_ffs,8,581,38,0.4957597680886423,0.18608664561838495,1.641745110875283,1.140009555823672,2.3643021194988894,0.0077186798553259455,0.7204045825162555,0.28273128192823027,1.3267485925874816,0.9579484848237177,1.837532869271971,0.08886224840517537,1.64 (1.14; 2.36),1.33 (0.96; 1.84),0.72
died,aa_coefs_mort_cmb_ffs,9,581,38,0.49331846720468825,0.18583923705457242,1.637742005465456,1.1377814339053174,2.357393781035469,0.007941563680318217,0.747445556817009,0.2638464905923376,1.3019283227144098,0.9248716157780597,1.8327055653664992,0.13045501805905427,1.64 (1.14; 2.36),1.3 (0.92; 1.83),0.75
died,aa_nn_cmb_mort,0,996,68,0.660696987782179,0.09569555355479328,1.9361413310826547,1.6050214955111923,2.3355719935280916,5.050293602620769e-12,0.7532245485632012,,,,,,1.94 (1.61; 2.34),nan (nan; nan),0.75
died,aa_nn_cmb_mort,1,996,68,0.6478330281892403,0.10187653816875931,1.911394400254737,1.5654270818425,2.3338222493411176,2.0306982482617802e-10,0.7538844561761353,,,,,,1.91 (1.57; 2.33),nan (nan; nan),0.75
died,aa_nn_cmb_mort,2,993,68,0.7102933509210919,0.10882978747108085,2.0345880193818435,1.6437675390518514,2.5183295753606885,6.725935715148865e-11,0.7438837230297012,,,,,,2.03 (1.64; 2.52),nan (nan; nan),0.74
died,aa_nn_cmb_mort,3,993,68,0.6530900617335299,0.1147765238229544,1.9214691231088268,1.5343889272307754,2.406198015078163,1.2696393599025326e-08,0.7418374409436972,,,,,,1.92 (1.53; 2.41),nan (nan; nan),0.74
died,aa_nn_cmb_mort,4,993,68,0.6450277490055721,0.11855959492369192,1.9060399192504371,1.5108240235386048,2.404640194472909,5.3120491930168314e-08,0.7474948090638259,,,,,,1.91 (1.51; 2.4),nan (nan; nan),0.75
died,aa_nn_cmb_mort,5,583,38,0.40105810750571375,0.1661725614434413,1.4934040439628002,1.0782785905141883,2.0683482526170947,0.015799963388124737,0.6990031856952009,0.3268957985488955,1.3866569779826299,0.9835296744673783,1.9550173467101584,0.062152683486773025,1.49 (1.08; 2.07),1.39 (0.98; 1.96),0.7
