type,outcome,variable,model,N,Ncase,Coef,Std Err,t-value,P,LL,UL,R-squared,MH_coef,MH_LL,MH_UL,MH_p,Beta_CI,R2
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,5,975,,-0.9239230322043185,0.2643512319668005,-3.495058545141763,0.000495465315366962,-1.4426912385777522,-0.4051548258308849,0.5605139244175192,,,,,-0.92 (-1.44; -0.41),0.56
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,6,569,,-2.270647958608813,0.4660122101423839,-4.872507434762378,1.4325707024688781e-06,-3.1859724124373106,-1.3553235047803156,0.040300391940263136,0.900473797743537,-0.014850656084961833,1.8157982515720357,0.053821581763838805,-2.27 (-3.19; -1.36),0.04
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,7,569,,-2.270647958608813,0.4660122101423839,-4.872507434762378,1.4325707024688781e-06,-3.1859724124373106,-1.3553235047803156,0.040300391940263136,0.900473797743537,-0.014850656084961833,1.8157982515720357,0.053821581763838805,-2.27 (-3.19; -1.36),0.04
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,8,569,,-0.5047102046943668,0.33681790148436414,-1.4984660924199618,0.13457067959536617,-1.16627834451943,0.15685793513069657,0.5235530162385302,-0.22237430458935517,-0.8744217345964497,0.4296731254177394,0.5032199332005347,-0.5 (-1.17; 0.16),0.52
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,9,567,,-0.4428085062493531,0.34101830403589756,-1.2984889696792947,0.19465192651268573,-1.1126346328796985,0.22701762038099238,0.5244290848121523,-0.21140800474475643,-0.8653039963785414,0.4424879868890286,0.5256645309344709,-0.44 (-1.11; 0.23),0.52
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,10,567,,-0.9994752067600045,0.3764621140358172,-2.654915779028199,0.008158522655410094,-1.7389255538664443,-0.2600248596535646,0.5341072543984733,-0.3589477649633325,-1.0133201913415582,0.29542466141489315,0.28174664434050245,-1.0 (-1.74; -0.26),0.53
linear,max_handgrip,aa_coefs_frailty_cmb_ffs,11,567,,-0.9936877760345895,0.37774411464385144,-2.630584402278427,0.0087592692116092,-1.7356620004824075,-0.25171355158677133,0.5352099361229088,-0.3424508646959523,-1.0031361335017663,0.3182344041098617,0.30906684481046753,-0.99 (-1.74; -0.25),0.54
linear,max_handgrip,aa_coefs_frailty_cmb,0,978,,-2.3773443053911474,0.3201497708857337,-7.425725462223296,2.441793489130102e-13,-3.005605433355713,-1.7490831774265818,0.053476078754108314,,,,,-2.38 (-3.01; -1.75),0.05
linear,max_handgrip,aa_coefs_frailty_cmb,1,978,,-1.97981343666197,0.3229095434315305,-6.131170406494252,1.264970157883217e-09,-2.613490335525734,-1.3461365377982062,0.037087189271754806,,,,,-1.98 (-2.61; -1.35),0.04
linear,max_handgrip,aa_coefs_frailty_cmb,2,978,,-0.5425902053786283,0.22592131488332934,-2.401677795027148,0.016506364834660652,-0.985938206152789,-0.09924220460446759,0.5465339781106947,,,,,-0.54 (-0.99; -0.1),0.55
linear,max_handgrip,aa_coefs_frailty_cmb,3,975,,-0.44061259301100736,0.22852762356866618,-1.9280495991269762,0.05414029869637112,-0.8890775102494076,0.007852324227392904,0.5507397768694484,,,,,-0.44 (-0.89; 0.01),0.55
linear,max_handgrip,aa_coefs_frailty_cmb,4,975,,-1.042822221466216,0.26284022861433226,-3.9675137514674668,7.798054069214571e-05,-1.5586238701407393,-0.5270205727916927,0.5600479218530043,,,,,-1.04 (-1.56; -0.53),0.56
linear,max_handgrip,aa_coefs_frailty_cmb,5,975,,-0.9983602556099131,0.26485900759911596,-3.769402689603846,0.000173552031619774,-1.5181249311583023,-0.47859558006152403,0.5614065780352704,,,,,-1.0 (-1.52; -0.48),0.56
