"Name","concordance_val","r2_val","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","beta","bs","dataset","lr","method","metric.goal","metric.name","nested_batch_size","parameters.betas","parameters.bs.distribution","parameters.bs.max","parameters.bs.min","parameters.bss","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.lr.q","parameters.lrs","parameters.nested_batch_sizes","parameters.wd.distribution","parameters.wd.max","parameters.wd.min","parameters.wd.q","parameters.wds","target","wd","concordance_train","cosim_train","cosim_val","r2_train","training_loss","validation_loss"
"unique-sweep-1645","0.6979873113418412","0.06724881123121207","","finished","-","","","2025-01-12T08:30:40.000Z","180","5oy9lds5","","0.8888888888888888","1782","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7889618411417512","0","0","0.10097590810386692","0.8718207754685445","0.7876101803209898"
"fearless-sweep-3764","0.6979827175388241","0.09603814096426144","","finished","-","","","2025-01-10T16:38:41.000Z","180","5oy9lds5","","0.3333333333333333","3112","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0004641588833612778","0.7445317297570446","0","0","0.10696994501539236","0.8901924907212122","0.7819737537623077"
"rich-sweep-748","0.6979522835938354","0.0025754868984995127","","finished","-","","","2025-01-12T00:44:13.000Z","182","5oy9lds5","","0.7777777777777777","2225","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.001291549665014884","0.7591522864251485","0","0","0.005355535056604577","0.8859094672741255","0.7847780733946418"
"dandy-sweep-1351","0.6979471155654412","0.14215042420409474","","finished","-","","","2025-01-09T22:03:07.000Z","178","5oy9lds5","","0.1111111111111111","1338","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0001","0.7433690333636199","0","0","0.136620963830819","0.8906753707528452","0.7814464022356932"
"light-sweep-2949","0.6979433831004898","-0.0096321283626144","","finished","-","","","2025-01-12T18:29:32.000Z","182","5oy9lds5","","1","3112","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.002154434690031882","0.7327931421664924","0","0","0.006123275212691626","0.8940304787872891","0.7820371149991343"
"revived-sweep-5979","0.6979410861989811","0.10514085977062526","","finished","-","","","2025-01-11T10:12:43.000Z","185","5oy9lds5","","0.5555555555555556","4000","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7838293894269573","0","0","0.12364421145188054","0.874535470550912","0.7862662683772408"
"northern-sweep-5871","0.6979387892974726","0.06806190089895814","","finished","-","","","2025-01-11T09:41:16.000Z","183","5oy9lds5","","0.5555555555555556","3556","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.0001","0.7330502308807557","0","0","0.07083480403203424","0.8936679770700954","0.7822367242467927"
"cool-sweep-2570","0.6979270176772411","-0.2408198117660909","","finished","-","","","2025-01-10T07:22:44.000Z","181","5oy9lds5","","0.2222222222222222","2225","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.01","0.7409722970166245","0","0","-0.22058337273815545","0.8933228509434142","0.7833049268465246"
"hopeful-sweep-3662","0.6979227109869125","-0.3017797101188413","","finished","-","","","2025-01-10T16:07:43.000Z","178","5oy9lds5","","0.3333333333333333","2669","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0001668100537200059","0.7291639549404385","0","0","-0.2462697201394917","0.8966938906216679","0.7834342669872714"
"fast-sweep-2890","0.697920414085404","0.12334400454284","","finished","-","","","2025-01-10T09:00:55.000Z","181","5oy9lds5","","0.2222222222222222","3556","","0.0004641588833612778","","","","","","","","","","","","","","","","","","","","","","0.01","0.7690873450696492","0","0","0.13783877389122845","0.8795902816695431","0.7865417347136197"
"restful-sweep-1438","0.6979175429585183","0.10699966526350813","","finished","-","","","2025-01-12T07:26:41.000Z","181","5oy9lds5","","0.8888888888888888","895","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.001291549665014884","0.7505573708279585","0","0","0.12305260932359818","0.886474483984818","0.7828206450975674"
"smooth-sweep-2061","0.6979172558458296","-0.007081751507855616","","finished","-","","","2025-01-12T10:40:21.000Z","183","5oy9lds5","","0.8888888888888888","3556","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7252616352330071","0","0","0.01307970966521088","0.8970557042166866","0.785328038972113"
"sweepy-sweep-6663","0.6979118007047468","-0.4395826320571512","","finished","-","","","2025-01-11T16:56:00.000Z","187","5oy9lds5","","0.6666666666666666","2669","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7313982878722657","0","0","-0.4083022130925149","0.8968579575551642","0.7856124809233318"
"visionary-sweep-3153","0.6978822280978239","0.13287159583288788","","finished","-","","","2025-01-12T19:36:37.000Z","188","5oy9lds5","","1","4000","","0.00021544346900318823","","","","","","","","","","","","","","","","","","","","","","0.0001","0.791079594858979","0","0","0.155414535334092","0.8699934317868456","0.7900696508555665"
"colorful-sweep-6040","0.6978675853507067","0.16471556565480772","","finished","-","","","2025-01-11T11:28:11.000Z","1296","5oy9lds5","","0.6666666666666666","8","","0.00001","","","","","","","","","","","","","","","","","","","","","","0.01","0.7929271588254079","0","0","0.19137821772685315","0.8800551812845991","0.7954625269983807"
"avid-sweep-1064","0.6978454776736867","0.06674195621216317","","finished","-","","","2025-01-12T02:25:17.000Z","186","5oy9lds5","","0.7777777777777777","3556","","0.0004641588833612778","","","","","","","","","","","","","","","","","","","","","","0.0001668100537200059","0.7733590716320654","0","0","0.07876933480482418","0.8797274489013542","0.7857781561632315"
"comic-sweep-969","0.6978388740818495","0.06255041037518372","","finished","-","","","2025-01-09T16:59:31.000Z","181","5oy9lds5","","0","4000","","0.0001","","","","","","","","","","","","","","","","","","","","","","0.005994842503189409","0.7257607811937387","0","0","0.09309752309027608","0.8961443960724443","0.7808971646989638"
"different-sweep-3153","0.6978377256310953","-0.2568581929944731","","finished","-","","","2025-01-10T13:30:09.000Z","190","5oy9lds5","","0.3333333333333333","451","","0.00004641588833612772","","","","","","","","","","","","","","","","","","","","","","0.0002782559402207126","0.7617070591751338","0","0","-0.20878918181565775","0.8859150459024397","0.7863107457263394"
