,variable,model,N,Coef,Std Err,t-value,P,LL,UL,R-squared,Age_coef,Age_LL,Age_UL
90,nn_allprot_mort,0,4320,    0.0086,    0.002,    3.766, 0.000,    0.004,    0.013,0.0032731333269122587,,,
91,nn_allprot_mort,1,4320,    0.0086,    0.001,    7.341, 0.000,    0.006,    0.011,0.7377421913058677,    0.0022,    0.002,    0.002
92,nn_allprot_mort,2,4320,    0.0080,    0.001,    6.728, 0.000,    0.006,    0.010,0.7382400292593284,    0.0023,    0.002,    0.002
93,nn_allprot_mort,3,4264,    0.0072,    0.001,    6.052, 0.000,    0.005,    0.010,0.742330432380728,    0.0025,    0.002,    0.003
94,nn_allprot_mort,4,4243,    0.0049,    0.001,    4.245, 0.000,    0.003,    0.007,0.7656759988051202,    0.0009,    0.001,    0.001
95,nn_allprot_mort,5,4122,    0.0043,    0.001,    3.655, 0.000,    0.002,    0.007,0.7664082531869558,    0.0010,    0.001,    0.001
96,nn_cmb_mort,0,4320,    0.0209,    0.002,    9.209, 0.000,    0.016,    0.025,0.019258700726916156,,,
97,nn_cmb_mort,1,4320,    0.0209,    0.001,   18.376, 0.000,    0.019,    0.023,0.7537277587058728,    0.0022,    0.002,    0.002
98,nn_cmb_mort,2,4320,    0.0229,    0.001,   19.787, 0.000,    0.021,    0.025,0.7574890978752982,    0.0024,    0.002,    0.002
99,nn_cmb_mort,3,4264,    0.0213,    0.001,   18.221, 0.000,    0.019,    0.024,0.7589050544171629,    0.0025,    0.002,    0.003
100,nn_cmb_mort,4,4243,    0.0185,    0.001,   15.527, 0.000,    0.016,    0.021,0.7773476975528553,    0.0010,    0.001,    0.001
101,nn_cmb_mort,5,4122,    0.0180,    0.001,   14.507, 0.000,    0.016,    0.020,0.7770548964024384,    0.0010,    0.001,    0.001
102,nn_cmb_sub_mort,0,4320,    0.0215,    0.002,    9.453, 0.000,    0.017,    0.026,0.02027102026480876,,,
103,nn_cmb_sub_mort,1,4320,    0.0215,    0.001,   18.891, 0.000,    0.019,    0.024,0.7547400782437657,    0.0022,    0.002,    0.002
104,nn_cmb_sub_mort,2,4320,    0.0238,    0.001,   20.575, 0.000,    0.022,    0.026,0.759116695594087,    0.0024,    0.002,    0.002
105,nn_cmb_sub_mort,3,4264,    0.0224,    0.001,   19.066, 0.000,    0.020,    0.025,0.7605485033376098,    0.0026,    0.002,    0.003
106,nn_cmb_sub_mort,4,4243,    0.0200,    0.001,   16.809, 0.000,    0.018,    0.022,0.7793913732691615,    0.0010,    0.001,    0.001
107,nn_cmb_sub_mort,5,4122,    0.0197,    0.001,   15.711, 0.000,    0.017,    0.022,0.7789138365157053,    0.0010,    0.001,    0.001
108,nn_cmb_met_mort,0,4320,    0.0195,    0.002,    8.579, 0.000,    0.015,    0.024,0.016756696660451986,,,
109,nn_cmb_met_mort,1,4320,    0.0195,    0.001,   17.054, 0.000,    0.017,    0.022,0.7512257546394141,    0.0022,    0.002,    0.002
110,nn_cmb_met_mort,2,4320,    0.0212,    0.001,   18.286, 0.000,    0.019,    0.023,0.7545101749694423,    0.0024,    0.002,    0.002
111,nn_cmb_met_mort,3,4264,    0.0196,    0.001,   16.668, 0.000,    0.017,    0.022,0.756026355941186,    0.0025,    0.002,    0.003
112,nn_cmb_met_mort,4,4243,    0.0164,    0.001,   14.009, 0.000,    0.014,    0.019,0.7750964806138156,    0.0010,    0.001,    0.001
113,nn_cmb_met_mort,5,4122,    0.0156,    0.001,   12.912, 0.000,    0.013,    0.018,0.7747762391903051,    0.0010,    0.001,    0.001
114,nn_cmb_met_pca_mort,0,4320,    0.0085,    0.002,    3.696, 0.000,    0.004,    0.013,0.0031525593711188016,,,
115,nn_cmb_met_pca_mort,1,4320,    0.0085,    0.001,    7.203, 0.000,    0.006,    0.011,0.7376216173500746,    0.0022,    0.002,    0.002
116,nn_cmb_met_pca_mort,2,4320,    0.0106,    0.001,    8.718, 0.000,    0.008,    0.013,0.7400709249103098,    0.0024,    0.002,    0.002
117,nn_cmb_met_pca_mort,3,4264,    0.0095,    0.001,    7.822, 0.000,    0.007,    0.012,0.7437944484285965,    0.0026,    0.002,    0.003
118,nn_cmb_met_pca_mort,4,4243,    0.0058,    0.001,    4.905, 0.000,    0.003,    0.008,0.7660079703926708,    0.0009,    0.001,    0.001
119,nn_cmb_met_pca_mort,5,4122,    0.0049,    0.001,    4.043, 0.000,    0.003,    0.007,0.7665770578859044,    0.0010,    0.001,    0.001
120,nn_cmb_mh_mort,0,4320,    0.0202,    0.002,    8.884, 0.000,    0.016,    0.025,0.017946238866731856,,,
121,nn_cmb_mh_mort,1,4320,    0.0202,    0.001,   17.692, 0.000,    0.018,    0.022,0.7524152968456874,    0.0022,    0.002,    0.002
122,nn_cmb_mh_mort,2,4320,    0.0220,    0.001,   19.000, 0.000,    0.020,    0.024,0.7559069206381329,    0.0024,    0.002,    0.002
123,nn_cmb_mh_mort,3,4264,    0.0204,    0.001,   17.437, 0.000,    0.018,    0.023,0.7574276426943551,    0.0025,    0.002,    0.003
124,nn_cmb_mh_mort,4,4243,    0.0175,    0.001,   14.931, 0.000,    0.015,    0.020,0.77644282360059,    0.0010,    0.001,    0.001
125,nn_cmb_mh_mort,5,4122,    0.0168,    0.001,   13.775, 0.000,    0.014,    0.019,0.7759815340923354,    0.0010,    0.001,    0.001
126,nn_allprot_frailty,0,4320,    0.0397,    0.002,   17.931, 0.000,    0.035,    0.044,0.06928636403905741,,,
