"Name","r2_val","r2_train","concordance_val","concordance_train","ID","Notes","State","Created","Runtime","architecture","target","batch_size","add_age","beta","dset","gamma","lr","n_epochs","weight_decay","init","max_depth","n_trees","alpha","l1_ratio","cosim_train","cosim_val","training_loss","validation_loss","var_t","in_dim","combine_sets","nested_batch_size","seed","bootstrap","score_test","score_train"
"copper-silence-1135","0.20821054860101507","0.2308345050899807","0","0","3tg4tcds","-","finished","2025-01-03T21:27:06.000Z","45056","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004557554919365923","0.004747830702155635","0","344","true","16","35","true","",""
"amber-firefly-1117","0.2145368560384714","0.238501850803324","0","0","4ywcqn86","-","finished","2025-01-03T17:41:02.000Z","35543","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004493836356166602","0.004709896076189401","0","344","true","16","14","true","",""
"frosty-capybara-1176","0.21184831662143488","0.2388519593007722","0","0","56dfuwyh","-","finished","2025-01-04T05:44:02.000Z","43359","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.00456992580626901","0.004726017445280145","0","344","true","16","73","true","",""
"smart-snowball-1154","0.2130108237463686","0.2360877933784452","0","0","5lf1len6","-","finished","2025-01-04T02:57:03.000Z","45174","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004536753534247053","0.0047190466691357","0","344","true","16","51","true","",""
"sunny-valley-1174","0.22076093142818387","0.2509916054323059","0","0","63db32i6","-","finished","2025-01-04T05:43:16.000Z","43408","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.00452811586094262","0.004672574467300072","0","344","true","16","71","true","",""
"helpful-microwave-1104","0.21941068556790633","0.247365278463339","0","0","6c9i4ywt","-","finished","2025-01-03T17:39:06.000Z","32956","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004619027575418656","0.004680670986822475","0","344","true","16","1","true","",""
"playful-star-1183","0.22857574148692916","0.2620177346810708","0","0","6q1jpwls","-","finished","2025-01-04T09:58:01.000Z","38822","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.00447681483459091","0.004625714288671942","0","344","true","16","80","true","",""
"fluent-wildflower-1200","0.2192621660227324","0.24854981978261617","0","0","6ze94x0p","-","finished","2025-01-04T15:20:25.000Z","25306","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004422149579558001","0.004681561559000723","0","344","true","16","97","true","",""
"glad-hill-1130","0.2240476173194761","0.2421850460896645","0","0","75dzgcpw","-","finished","2025-01-03T18:29:15.000Z","37326","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004488718445294715","0.0046528664146663215","0","344","true","16","27","true","",""
"wild-pine-1199","0.22887820008285953","0.25280632544306325","0","0","75zo7qkk","-","finished","2025-01-04T15:19:13.000Z","25339","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004523030603780041","0.004623900647172485","0","344","true","16","96","true","",""
"devoted-snow-1170","0.2208871648078201","0.24985864527657953","0","0","806gmxpj","-","finished","2025-01-04T04:59:42.000Z","45034","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004559386820875057","0.00467181753032091","0","344","true","16","67","true","",""
"usual-sound-1184","0.22026054308922072","0.24079578520152123","0","0","8km2mbpy","-","finished","2025-01-04T09:58:29.000Z","32005","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004532658672490907","0.0046755749608208335","0","344","true","16","81","true","",""
"dainty-field-1192","0.20987988680613556","0.2368996196135753","0","0","9ag0008p","-","finished","2025-01-04T10:03:07.000Z","31832","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.0045960974456350475","0.004737820799689077","0","344","true","16","89","true","",""
"honest-hill-1165","0.20946950923502736","0.2320720815804861","0","0","9hmpj7ja","-","finished","2025-01-04T04:51:48.000Z","45150","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004539258823862944","0.004740281558958024","0","344","true","16","62","true","",""
"apricot-blaze-1181","0.22168589282378903","0.2491767952356717","0","0","9iucm076","-","finished","2025-01-04T05:47:29.000Z","43260","ds_default","frailty","16","true","0.1","allprot","0.99","0.000005","100","0.005","normal","","","","","0","0","0.004530804917859337","0.004667028093697085","0","344","true","16","78","true","",""
