type,outcome,variable,model,N,Ncase,Coef,Std Err,t-value,P,LL,UL,R-squared,MH_coef,MH_LL,MH_UL,MH_p,Beta_CI,R2
linear,FI_0,aa_coefs_mort_allprot,3,2136,,0.023688463051212964,0.0016322328037216228,14.512919356357347,1.3886370778331604e-45,0.020487528346079024,0.026889397756346904,0.11610479789754868,,,,,0.02 (0.02; 0.03),0.12
linear,FI_0,aa_coefs_mort_allprot,4,2125,,0.021960951728144055,0.0017070114012573386,12.865146484650431,1.586056068791399e-36,0.018613358746869965,0.025308544709418145,0.14410671669323927,,,,,0.02 (0.02; 0.03),0.14
linear,FI_0,aa_coefs_mort_allprot,5,2075,,0.02181270856960255,0.0017683299692248025,12.33520267666151,8.75726251308927e-34,0.018344814857229563,0.025280602281975536,0.14609898167938928,,,,,0.02 (0.02; 0.03),0.15
linear,FI_0,aa_coefs_mort_allprot,6,2160,,0.019743104954242013,0.0016806827043645922,11.7470745090497,6.2641248113791015e-31,0.01644717794735716,0.023039031961126867,0.09334865718337915,0.007787810373756745,0.004491883366871883,0.011083737380641608,3.8058320164211026e-06,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_coefs_mort_allprot,7,2160,,0.019743104954242013,0.0016806827043645922,11.7470745090497,6.2641248113791015e-31,0.01644717794735716,0.023039031961126867,0.09334865718337915,0.007787810373756745,0.004491883366871883,0.011083737380641608,3.8058320164211026e-06,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_coefs_mort_allprot,8,2160,,0.022901909949252165,0.0017690911876407694,12.945579125174305,5.71861512706803e-37,0.019432607310374685,0.026371212588129644,0.10547248224911832,0.004420499399020536,0.000925481921825766,0.007915516876215306,0.01320095068862461,0.02 (0.02; 0.03),0.11
linear,FI_0,aa_coefs_mort_allprot,9,2136,,0.02190767494186036,0.0017837473220230706,12.281826395127174,1.502390648038878e-33,0.018409607621339336,0.025405742262381383,0.11860851906122549,0.004376601678821937,0.0008881591622348058,0.007865044195409069,0.013958240831633262,0.02 (0.02; 0.03),0.12
linear,FI_0,aa_coefs_mort_allprot,10,2125,,0.020857648458412863,0.0018518392415782234,11.263206864888016,1.2755492184167598e-28,0.017226034916901518,0.024489261999924208,0.14505661093935707,0.0027093837967774046,-0.0007542737456853166,0.006173041339240126,0.1251732994081309,0.02 (0.02; 0.02),0.15
linear,FI_0,aa_coefs_mort_allprot,11,2075,,0.020802637445325345,0.0019039590618983864,10.925989881622558,4.686951151269576e-27,0.01706875878763552,0.02453651610301517,0.1469421044517235,0.0025539708739218897,-0.0009511033528882187,0.006059045100731998,0.15316572722447772,0.02 (0.02; 0.02),0.15
linear,FI_0,aa_coefs_mort_cmb,0,2160,,0.022497256826102346,0.001587485825269551,14.171626900846418,1.1708211939508212e-43,0.01938409571025535,0.02561041794194934,0.08514160941697513,,,,,0.02 (0.02; 0.03),0.09
linear,FI_0,aa_coefs_mort_cmb,1,2160,,0.022469267547763124,0.0015876695064260136,14.152358193452653,1.5047330324355297e-43,0.0193557462214343,0.025582788874091947,0.08492988851058625,,,,,0.02 (0.02; 0.03),0.08
linear,FI_0,aa_coefs_mort_cmb,2,2160,,0.024793183476146653,0.0016098490117167766,15.400937165968555,7.416962325492346e-51,0.02163616590171388,0.027950201050579427,0.10349400532032194,,,,,0.02 (0.02; 0.03),0.1
linear,FI_0,aa_coefs_mort_cmb,3,2136,,0.023807345560302832,0.0016246397191945544,14.653923130788511,2.1221105686818453e-46,0.020621301480897216,0.02699338963970845,0.11765381575515066,,,,,0.02 (0.02; 0.03),0.12
linear,FI_0,aa_coefs_mort_cmb,4,2125,,0.02236314837943618,0.0016919944077681283,13.217034451629722,2.2116636691102907e-38,0.019045004985884406,0.025681291772987953,0.14753150093558143,,,,,0.02 (0.02; 0.03),0.15
linear,FI_0,aa_coefs_mort_cmb,5,2075,,0.021981826370068694,0.0017598082823696622,12.491034728208666,1.430744744491428e-34,0.018530644642889685,0.025433008097247703,0.1475850223368691,,,,,0.02 (0.02; 0.03),0.15
linear,FI_0,aa_coefs_mort_cmb,6,2160,,0.019818885961236602,0.0017001969263814637,11.656817897805063,1.7032305862093267e-30,0.016484690308404045,0.02315308161406916,0.09251338920230423,0.007218368540223121,0.003884172887390566,0.010552564193055676,2.2724641624154528e-05,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_coefs_mort_cmb,7,2160,,0.019818885961236602,0.0017001969263814637,11.656817897805063,1.7032305862093267e-30,0.016484690308404045,0.02315308161406916,0.09251338920230423,0.007218368540223121,0.003884172887390566,0.010552564193055676,2.2724641624154528e-05,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_coefs_mort_cmb,8,2160,,0.023193017192556453,0.001795909078160882,12.914360462116205,8.335697488863532e-37,0.019671122929798564,0.026714911455314343,0.10516157753905986,0.003627360052096656,7.850516829010839e-05,0.007176214935903204,0.0451471385701824,0.02 (0.02; 0.03),0.11
linear,FI_0,aa_coefs_mort_cmb,9,2136,,0.02227227335204832,0.0018038281590065568,12.34722567160421,7.049071344489558e-34,0.01873482594739017,0.02580972075670647,0.11923024247836711,0.003526469603794385,-1.462518331554882e-05,0.0070675643909043195,0.05095288963401309,0.02 (0.02; 0.03),0.12
linear,FI_0,aa_coefs_mort_cmb,10,2125,,0.021643302909366086,0.0018679061695741246,11.586932610378751,3.813063538546286e-30,0.017980180761723964,0.025306425057008208,0.14786453595909876,0.0016319650248110503,-0.001885692696329122,0.005149622745951222,0.3630230309067515,0.02 (0.02; 0.03),0.15
linear,FI_0,aa_coefs_mort_cmb,11,2075,,0.021258713259190695,0.001925193552555234,11.042377131886214,1.3868865732287624e-27,0.017483191368168182,0.02503423515021321,0.14793899494551765,0.0016809151045613592,-0.0018773125616288755,0.005239142770751594,0.35432851444099955,0.02 (0.02; 0.03),0.15
linear,FI_0,aa_coefs_mort_cmb_ffs,0,2160,,0.021945582397617236,0.0015910602380134337,13.793055645094906,1.538216649365658e-41,0.01882541163003722,0.02506575316519725,0.08101714679019156,,,,,0.02 (0.02; 0.03),0.08
linear,FI_0,aa_coefs_mort_cmb_ffs,1,2160,,0.02163770217606659,0.0015930130806453286,13.582877905372358,2.201368453371185e-40,0.01851370175933305,0.024761702592800132,0.07875987179752286,,,,,0.02 (0.02; 0.02),0.08
linear,FI_0,aa_coefs_mort_cmb_ffs,2,2160,,0.024708681148929035,0.001630271731640912,15.156173458309977,2.1975653026818817e-49,0.021511613305651822,0.02790574899220625,0.10068460952092784,,,,,0.02 (0.02; 0.03),0.1
linear,FI_0,aa_coefs_mort_cmb_ffs,3,2136,,0.023938209203071017,0.001637135570836454,14.622007871248183,3.2507404358967054e-46,0.020727659792624656,0.027148758613517378,0.1173023714188256,,,,,0.02 (0.02; 0.03),0.12
