,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C
26,en_mort_cmb_mh,2,4243,453,0.5603577667905513,0.040027902904694095,1.751298944831682,1.619155178913144,1.8942273317047442,1.5768235996697386e-44,0.694315304997994
27,en_mort_cmb_mh,3,4122,440,0.5567568897867192,0.043243389286758464,1.745004073065667,1.6031996349623334,1.8993512402385935,6.227165973002876e-38,0.6957079332567145
28,en_frailty_allprot,0,4320,464,0.5298603321811095,0.03836051690432265,1.6986950390184128,1.575661368460652,1.8313356494897315,2.1382349285136026e-43,0.6835388515083842
29,en_frailty_allprot,1,4264,456,0.5425728658998027,0.04035924190689104,1.72042760227147,1.5895805959721503,1.8620453358310978,3.3577097785052794e-41,0.6851727131226054
30,en_frailty_allprot,2,4243,453,0.535621395851999,0.04458386996772769,1.7085095732286326,1.5655522175590009,1.8645209844007493,3.007276390371622e-33,0.6892694041706003
31,en_frailty_allprot,3,4122,440,0.5106647278136287,0.04600780014235788,1.6663985283178293,1.5227091692125485,1.8236470307825496,1.2611233756617387e-28,0.6879878848973396
32,en_frailty_cmb,0,4320,464,0.5587967963064232,0.038596238606299196,1.7485673513929378,1.6211723473096509,1.8859733127272005,1.6685410798407818e-47,0.6842970204168483
33,en_frailty_cmb,1,4264,456,0.5696357897436776,0.040827539041037336,1.7676231477029751,1.631688361991761,1.9148825627961121,3.0485995614418384e-44,0.6845184643541324
34,en_frailty_cmb,2,4243,453,0.576087502201684,0.04511577806060893,1.7790642115272999,1.6285046515469481,1.9435434008313652,2.43985290659901e-37,0.6893364521455893
35,en_frailty_cmb,3,4122,440,0.5496789546060292,0.04658110666675741,1.7326966542831848,1.5815124929751143,1.8983332152605283,3.881372156528534e-32,0.6899477484531774
36,en_frailty_cmb_sub,0,4320,464,0.5436659606951179,0.03926359415383848,1.7223092209356585,1.5947400266402192,1.860083150210675,1.3343995557657585e-43,0.6768630399887617
37,en_frailty_cmb_sub,1,4264,456,0.5523146881315617,0.04150698496488231,1.7372696048366072,1.6015349169666293,1.8845081976767344,2.120551302669553e-40,0.6771827534893268
38,en_frailty_cmb_sub,2,4243,453,0.5634878805385867,0.04667238859553573,1.7567892979680413,1.6032161088909958,1.9250733699213871,1.4622466035832771e-33,0.6825267570084058
39,en_frailty_cmb_sub,3,4122,440,0.5365002206170915,0.048204357257936654,1.7100117137154343,1.5558490609088103,1.879449706603244,8.993379649334465e-29,0.6831163552737781
40,en_frailty_cmb_met,0,4320,464,0.5259661468260032,0.039391113004960183,1.6920928690547816,1.5663702249475853,1.8279064756876693,1.1468349129205119e-40,0.6765190750752488
41,en_frailty_cmb_met,1,4264,456,0.5329282727612703,0.0416304152818781,1.703914536922711,1.5704059583715202,1.8487733911473614,1.6098823631355045e-37,0.6761628951149425
42,en_frailty_cmb_met,2,4243,453,0.5364521523939444,0.04679215421243941,1.709929518466301,1.560086417216115,1.8741647423223229,1.9873322550483138e-30,0.6824132080185052
43,en_frailty_cmb_met,3,4122,440,0.5084971119258771,0.04831053010723136,1.6627903284010328,1.5125700332735192,1.82792969277611,6.5843572101917e-26,0.6821243680961309
44,en_frailty_cmb_met_pca,0,4320,464,0.46879401309645435,0.042300797793694965,1.5980657842263088,1.4709169368643151,1.7362056188971764,1.527370333339353e-28,0.6425533145615945
45,en_frailty_cmb_met_pca,1,4264,456,0.4764258739244521,0.04485078291847437,1.610308658417391,1.4747964123291435,1.75827250032345,2.342910659334259e-26,0.6418212489737274
46,en_frailty_cmb_met_pca,2,4243,453,0.48552791385247446,0.05099218993001965,1.6250326596932045,1.47047438276748,1.7958362117806022,1.705110789535323e-21,0.6544174342037674
47,en_frailty_cmb_met_pca,3,4122,440,0.4525521405701312,0.052455541414463076,1.5723198505323615,1.4187002968948297,1.7425736202276798,6.279163101763733e-18,0.6563947006759061
48,en_frailty_cmb_met_pca20,0,4320,464,0.4869465256798403,0.03969159474381623,1.6273395861738131,1.5055411918765818,1.7589914796203392,1.3411589431866749e-34,0.6557365703909218
49,en_frailty_cmb_met_pca20,1,4264,456,0.5000111482891108,0.04237230957299467,1.6487396512239725,1.5173462905479238,1.791510912473734,3.8835741605504676e-32,0.6552686268472906
50,en_frailty_cmb_met_pca20,2,4243,453,0.4942715529414442,0.04709502700739369,1.6393036580875575,1.494761998970132,1.7978223190519744,9.088860614315266e-26,0.6621614753149903
51,en_frailty_cmb_met_pca20,3,4122,440,0.46614742269194115,0.04832466274148461,1.5938419505003651,1.4498104505859837,1.752182267790978,5.103099257073446e-22,0.6629321717285951
52,en_frailty_cmb_met_ajive10,0,4320,464,0.465498598793063,0.04073677727953032,1.5928081631610782,1.470578678953064,1.7251969452180136,3.0656446781708997e-30,0.6437091606223183
53,en_frailty_cmb_met_ajive10,1,4264,456,0.4750608204925832,0.04329141604991197,1.6081120006755436,1.4772927713665862,1.7505157114689385,5.121707342829092e-28,0.642855004789272
54,en_frailty_cmb_met_ajive10,2,4243,453,0.4803496717308631,0.048549868573112546,1.6166395965367952,1.4698989807828713,1.7780293879098303,4.422539003964733e-23,0.6549484109089219
55,en_frailty_cmb_met_ajive10,3,4122,440,0.44763132666571326,0.050127025261238856,1.5646017623615354,1.4181939026235932,1.7261241007003163,4.2624000432380595e-19,0.656153592681339
56,en_frailty_cmb_mh,0,4320,464,0.5461545876063136,0.03923859155883211,1.7266007437970434,1.5987920275907173,1.8646265912226974,4.869288729781428e-44,0.678415530274077
57,en_frailty_cmb_mh,1,4264,456,0.5560052986143367,0.04151862100974481,1.7436930361521807,1.607419819285403,1.8915191711878256,6.760681696705118e-41,0.6785960163519431
58,en_frailty_cmb_mh,2,4243,453,0.5666255614509195,0.046591188760560356,1.762310199098857,1.6085103616467498,1.9308158106412712,4.974590052490541e-34,0.6842981212508557
59,en_frailty_cmb_mh,3,4122,440,0.5392205506850981,0.04814361788370176,1.7146698429488165,1.5602729806477036,1.8843450516573208,4.0658502065259115e-29,0.6846858535050788
60,nn_allprot_mort,0,4320,464,0.09741051972869287,0.047797697136181476,1.1023128019016606,1.0037357152525825,1.2105711640743206,0.04155241656897919,0.5526555537421937
61,nn_allprot_mort,1,4264,456,0.08295973727210175,0.04805513361129122,1.0864980622917282,0.9888361891605655,1.1938054576722172,0.08428537301651505,0.5536548132183908
62,nn_allprot_mort,2,4243,453,0.05958096507236035,0.04803937154845039,1.0613916931559761,0.9660163948661223,1.1661834439741945,0.21488190452137634,0.5973628517450317
63,nn_allprot_mort,3,4122,440,0.03950240170334849,0.04918671657838628,1.0402929973571329,0.9446868412699119,1.1455748858484243,0.42191047970783957,0.6157450409252118
64,nn_cmb_mort,0,4320,464,0.5377728575372767,0.03130756783324504,1.7121893231154124,1.610284951975842,1.8205425534116244,3.9420698454699826e-66,0.6919489485829265
65,nn_cmb_mort,1,4264,456,0.5394996536953137,0.032400301829577996,1.7151484792548193,1.6096169461154732,1.8275989905483265,2.9724595719917347e-62,0.6892500085522715
66,nn_cmb_mort,2,4243,453,0.520547501811003,0.03491243946248005,1.6829488150300864,1.5716411279741846,1.802139600191027,2.8338405047972935e-50,0.696264021948479
67,nn_cmb_mort,3,4122,440,0.5192737656984958,0.03701250980660377,1.6808065469806055,1.5631930862845365,1.807269155141742,1.0260974222362889e-44,0.6981224576023073
68,nn_cmb_sub_mort,0,4320,464,0.472601811585177,0.027433047575626642,1.6041624968644315,1.5201880226969011,1.6927756816430368,1.6524153747334408e-66,0.6917929765050272
69,nn_cmb_sub_mort,1,4264,456,0.4779903940031188,0.02875389186183339,1.6128299904693524,1.524450171148209,1.7063336194177756,4.709879073774671e-62,0.6883103277230432
70,nn_cmb_sub_mort,2,4243,453,0.45783205094321233,0.03060089402540155,1.5806435131805001,1.488628759754462,1.6783458598312258,1.312465174318667e-50,0.6934620654453121
71,nn_cmb_sub_mort,3,4122,440,0.4572290502659518,0.033582651236360374,1.5796906713825414,1.479062237050644,1.687165390841886,3.2597912877822875e-42,0.693835327832244
72,nn_cmb_met_mort,0,4320,464,0.5337545744708807,0.0381742152534775,1.705323066272563,1.5823870331549332,1.837810029675918,2.0056653071528026e-44,0.6749510908749103
73,nn_cmb_met_mort,1,4264,456,0.533526173347644,0.04006932333145954,1.704933613046215,1.5761603682034087,1.8442277090167822,1.8917429308334783e-40,0.6710048063765737
74,nn_cmb_met_mort,2,4243,453,0.4933623453394491,0.04215358734023197,1.6378138681064631,1.507937513918116,1.7788762742509214,1.2169438823053547e-31,0.6806732049256471
75,nn_cmb_met_mort,3,4122,440,0.4758801326372314,0.04426601241399384,1.6094300862556805,1.4756821280225962,1.7553002461416978,5.896482864068939e-27,0.6826582500841007
76,nn_cmb_met_pca_mort,0,4320,464,0.35330831918263017,0.05700412891610371,1.4237700513867513,1.2732622140331378,1.5920688895689439,5.72059928354851e-10,0.5887625733120413
77,nn_cmb_met_pca_mort,1,4264,456,0.3557349181323332,0.0577881482215584,1.427229165542071,1.274395857277842,1.598391174407134,7.467795092684536e-10,0.5918214627805145
78,nn_cmb_met_pca_mort,2,4243,453,0.3099289246540581,0.05876744329681868,1.363328211664254,1.2150033722812623,1.5297602090024394,1.336128760584409e-07,0.6223230825630927
