,en_forward_frailty
270,0.15325483530770612
271,0.0979173005608498
272,0.17078343006434976
273,0.11999166356622701
274,0.13281254258896982
275,0.10855019388518042
276,0.12599868403228562
277,0.12351600356220518
278,0.12611653372659548
279,0.12897309935022935
280,0.13717462834486266
281,0.12428630007814025
282,0.11492420775522734
283,0.11328027658185204
284,0.12950918786985235
285,0.11246345940328159
286,0.08925898038505911
287,0.1110146783134329
288,0.17785080459960123
289,0.09166810753271892
290,0.10254059183667431
291,0.10141716152879512
292,0.08217808197373869
293,0.11135543341037886
294,0.13468436886296753
295,0.15445943114546473
296,0.13383748922413236
297,0.16823384545636966
298,0.0965943786531352
299,0.10859335616966488
300,0.15491595345455847
301,0.17652888992286558
302,0.09544261453342798
303,0.06456344359277517
304,0.11701489088032618
305,0.07508158808790627
306,0.11134203952924857
307,0.11674480178614516
308,0.14392006542176744
309,0.18816995756402705
310,0.09906079448258989
311,0.14635973979741568
312,0.13116413415092365
313,0.09871999616980562
314,0.14207733740031447
315,0.0787468777894797
316,0.11363713984219449
317,0.13364659705038204
318,0.0943951182793896
319,0.11606473136826181
320,0.14407345235038327
321,0.13907072680728616
322,0.13135955829778773
323,0.15468979044343878
324,0.14915033690774399
325,0.1344836213163785
326,0.1261815219158316
327,0.106844642191463
328,0.15331912944960222
329,0.12499238899296491
330,0.1469345448847309
331,0.10847823882472013
332,0.12966619055528986
333,0.12904682892588898
334,0.147372469639791
335,0.1281991805487363
336,0.13468705432786696
337,0.14149335240451638
338,0.12479227190937493
339,0.13201471055541175
340,0.10492280222071572
341,0.0874224920336722
342,0.13352276440451064
343,0.10804487889623157
344,0.13709306973585897
345,0.1554822055698548
346,0.09793763394323834
347,0.12271864223319054
348,0.13725437048682612
349,0.11392136380217854
350,0.16619835633295688
351,0.14605759123827833
352,0.1748463515227662
353,0.1559708458620624
354,0.09199219464811406
355,0.23312130701156678
356,0.1285483902056388
357,0.11850009445273574
358,0.16974308773186644
359,0.14255447850914063
360,0.16451457971203742
361,0.11881374065773961
362,0.11796172499709029
363,0.11361042981718103
364,0.2519286943093103
365,0.1202873042171496
366,0.11276423514192731
367,0.16414751015359608
368,0.1694001309921788
369,0.09394458851407914
370,0.10538624406258508
371,0.1530867986169549
372,0.10415253031011462
373,0.11897414909563603
374,0.13912528467187538
375,0.14020745101691312
376,0.11215529618914785
377,0.08711148132084516
378,0.12320075106861271
379,0.11414927290276192
380,0.09988254368510759
381,0.11576141717267718
382,0.10660818365456576
383,0.14741502513925842
384,0.1026764844464638
385,0.12081377570703392
386,0.17648966737495153
387,0.08415528216102697
388,0.1231560299744393
389,0.11585539720701268
390,0.129157528992131
391,0.14752376439629802
392,0.10431072127007535
393,0.16867036710982497
394,0.13642752519356105
395,0.16238165863965165
396,0.1525537649109392
397,0.13938350605058553
398,0.15470183197061557
399,0.1114123174288052
400,0.07050606065340818
401,0.13391883185579767
402,0.1824878494593417
403,0.09860778030688039
404,0.16916198329678725
405,0.20303378985779397
406,0.12474711152142416
407,0.12625725857559025
408,0.11086773776234483
409,0.145043987813314
410,0.212171521722225
411,0.11167207096924613
412,0.12882909882058866
413,0.12960301966749138
414,0.10499253165364511
415,0.2113860777940268
416,0.11862955809061883
417,0.11626386306860576
418,0.06705249348224537
419,0.13279395628891855
420,0.11478484098745147
421,0.1207847776686101
422,0.1326307336708193
423,0.1359964544706321
424,0.1428210423217322
425,0.0995770338804953
426,0.11161210544641925
427,0.14697735995867647
428,0.12400574007492145
429,0.18200425605322795
430,0.13608340877962122
431,0.13708961036783776
432,0.10260163254211674
433,0.12723808378294985
434,0.14011724811503404
435,0.14911970479440545
436,0.14357810841013924
437,0.14696712294227357
438,0.12115381552857155
439,0.11483398647684517
440,0.11900100697796226
441,0.09680282886053407
442,0.1336614528453653
443,0.18047200056651577
444,0.1315730752875539
445,0.12655902816260378
446,0.1098055239717887
447,0.12243459394699915
448,0.1415040422624154
449,0.12663705316132284
450,0.06970935127764127
451,0.10549437941230372
452,0.11762809727405323
453,0.11026900355882747
