mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_coxnetsurvivalanalysis__alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0312931537628174,0.011533020210195012,0.10051417350769043,0.0017105090283152113,[0.003070771418944555],{'coxnetsurvivalanalysis__alphas': [0.003070771418944555]},0.501817940665045,0.4975615006548831,0.5011265634381126,0.5042316487415729,0.4832718510778941,0.49760190091550155,0.00747668046441331,91
1.0626739025115968,0.009497602533115906,0.09971485137939454,0.0015701374402688083,[0.0029312001187147955],{'coxnetsurvivalanalysis__alphas': [0.0029312001187147955]},0.500779378176681,0.4970342225046361,0.5005526787690505,0.503176880737432,0.48210150512216743,0.4967289330619934,0.007571763544421064,95
1.0529518604278565,0.02647761999991829,0.09963326454162598,0.0024866838006193928,[0.002797972549486193],{'coxnetsurvivalanalysis__alphas': [0.002797972549486193]},0.49993794178452655,0.4968646012993918,0.5010105936724245,0.502300981711206,0.48133569311469815,0.49628996231644945,0.007690056515810928,97
1.0688540458679199,0.012612455416575324,0.09925708770751954,0.0015834317274963446,[0.0026708003788942225],{'coxnetsurvivalanalysis__alphas': [0.0026708003788942225]},0.49956376725005447,0.4967826436528212,0.501667976572782,0.5014999840694817,0.48108773330002835,0.4961204209690336,0.007719999266530899,99
1.1179746627807616,0.020686118311012226,0.09905810356140136,0.0019014751504117734,[0.002549408379725322],{'coxnetsurvivalanalysis__alphas': [0.002549408379725322]},0.49947554723786186,0.49651446578397934,0.5016838809977906,0.5011455999069881,0.4809713688661169,0.49595817255854746,0.0077068646196668585,100
1.1449755668640136,0.03551554968351905,0.0993697166442871,0.001741446091732297,[0.002433533834267553],{'coxnetsurvivalanalysis__alphas': [0.002433533834267553]},0.49997748868654396,0.49634276970160673,0.5022789715668642,0.5009784692057491,0.48167321089682863,0.4962501820115185,0.007551059233012519,98
1.1996682167053223,0.015826771081372676,0.09940090179443359,0.0017479560045350737,[0.002322925965734448],{'coxnetsurvivalanalysis__alphas': [0.002322925965734448]},0.5008329185978737,0.49688742494780386,0.5027726714265076,0.5009097164423632,0.48211003445240175,0.49670255317339007,0.007544299266515963,96
1.2716138362884521,0.04557954468365787,0.09946470260620117,0.0018300973443416458,[0.002217345395531518],{'coxnetsurvivalanalysis__alphas': [0.002217345395531518]},0.5014011771591695,0.4974974388235447,0.5035731941519429,0.5002154812218317,0.4830829873369908,0.49715405573869587,0.007303815197907006,94
1.3003448009490968,0.048133027890568836,0.09963970184326172,0.0015822006412066882,[0.0021165636251908346],{'coxnetsurvivalanalysis__alphas': [0.0021165636251908346]},0.5020059405530969,0.49803898175404926,0.5031716074204745,0.49982867705709105,0.48353565107728486,0.4973161715723993,0.007113619972261798,93
1.3814987659454345,0.0680283809889021,0.09968514442443847,0.0016163538882366995,[0.0020203625418524877],{'coxnetsurvivalanalysis__alphas': [0.0020203625418524877]},0.5027287362391991,0.4985120537393176,0.5021875211230644,0.4998946349926971,0.48381833745076597,0.4974282567090088,0.006974714633157506,92
1.421149444580078,0.0594056172495172,0.09931645393371583,0.0018839281528259047,[0.0019285339462226723],{'coxnetsurvivalanalysis__alphas': [0.0019285339462226723]},0.5036334476745813,0.499265234136916,0.5015606217039736,0.4996526029069563,0.48408457440165226,0.4976392961648159,0.006953189292834195,90
1.5160675048828125,0.04206042451556253,0.09968242645263672,0.0017027595641427673,[0.0018408791019868084],{'coxnetsurvivalanalysis__alphas': [0.0018408791019868084]},0.5043209553558066,0.4997517928235187,0.5009542655005189,0.49917860011548226,0.48474681597056163,0.4977904859531776,0.006761175102383954,88
1.5998111248016358,0.06290960793121768,0.09929499626159669,0.0018974315115948901,[0.0017572083057025311],{'coxnetsurvivalanalysis__alphas': [0.0017572083057025311]},0.5042333437574911,0.5005065293789633,0.5003803808314569,0.4985844197294719,0.4853036593872895,0.4978016666169346,0.006513760934351124,86
1.7847447872161866,0.135595349190938,0.09923901557922363,0.0020325981029416487,[0.0016773404762417073],{'coxnetsurvivalanalysis__alphas': [0.0016773404762417073]},0.5038415252205805,0.5012685280043573,0.4995871476341505,0.4982484814303258,0.48565397116477144,0.49771993069083703,0.006315373413542099,89
1.8632048606872558,0.11159709246029108,0.09948325157165527,0.0017472395892012761,[0.0016011027628929475],{'coxnetsurvivalanalysis__alphas': [0.0016011027628929475]},0.5035050723464941,0.5022613567102823,0.4992577934995964,0.4979125431311797,0.4860542404479117,0.49779820122709284,0.006205678581694478,87
2.0485644340515137,0.12107132967806546,0.10082402229309081,0.002942410859866792,[0.0015283301712764614],{'coxnetsurvivalanalysis__alphas': [0.0015283301712764614]},0.5032723540384688,0.5032614474861566,0.4989807914306958,0.49787229761114893,0.4868023845570384,0.49803785502470177,0.006030559394967659,85
2.2013598918914794,0.10456148171450556,0.09947061538696289,0.002224224581501663,[0.0014588652062616626],{'coxnetsurvivalanalysis__alphas': [0.0014588652062616626]},0.503399208331863,0.5040436761635522,0.4988436157649962,0.4981260679735654,0.4872105739325391,0.4983246284333032,0.0060380435513553155,84
2.8057713508605957,0.43401450270167924,0.10609698295593262,0.005990768249361872,[0.0013925575311147184],{'coxnetsurvivalanalysis__alphas': [0.0013925575311147184]},0.5032690077621442,0.5049519536264961,0.49903645691822607,0.4983563617826306,0.48785636607885363,0.49869402923367023,0.0059628561097218305,83
2.881193256378174,0.31608013804479523,0.10024628639221192,0.0015768760460666577,[0.0013292636421383683],{'coxnetsurvivalanalysis__alphas': [0.0013292636421383683]},0.5028832733640055,0.5050873393591223,0.49937641400278593,0.49892930147751363,0.48864350141190876,0.49898396592306715,0.005648680834005577,81
3.0921288967132567,0.30646177021676196,0.10006771087646485,0.0015910772986926637,[0.001268846558099868],{'coxnetsurvivalanalysis__alphas': [0.001268846558099868]},0.5024908464132176,0.5053933837355569,0.49970046666233714,0.49951733324240827,0.4894239351283512,0.4993051930363742,0.005386185217355108,80
3.7787928581237793,0.3733634626936625,0.1021799087524414,0.003978387639905583,[0.0012111755237749092],{'coxnetsurvivalanalysis__alphas': [0.0012111755237749092]},0.5027591569330586,0.5063893247571746,0.49988204218118587,0.49996171085941515,0.4900410930945933,0.4998066655650854,0.005430372614676342,79
3.8565574645996095,0.3463615047773457,0.10048069953918456,0.0020892421966774806,[0.001156125726965928],{'coxnetsurvivalanalysis__alphas': [0.001156125726965928]},0.502753681208164,0.5069889642472735,0.5002458559032587,0.5008152512634019,0.49032865337106546,0.5002264811986328,0.005485105981543853,77
4.257428169250488,0.5738554989128145,0.10136275291442871,0.002162518754839317,[0.0011035780283823677],{'coxnetsurvivalanalysis__alphas': [0.0011035780283823677]},0.5032665741066354,0.5072794470452453,0.5005891264096953,0.5017325137407708,0.49082396376253123,0.5007383250129757,0.005449468806675463,76
4.685372591018677,0.7492613255724636,0.100620698928833,0.0017990818990068057,[0.0010534187037982987],{'coxnetsurvivalanalysis__alphas': [0.0010534187037982987]},0.5035774735978799,0.5077213958735881,0.49987077654680473,0.5022260803267042,0.49105669263035406,0.5008904837950662,0.00553910360371734,75
5.769745254516602,1.0207833669518533,0.10112380981445312,0.0024106210915868483,[0.0010055391979293758],{'coxnetsurvivalanalysis__alphas': [0.0010055391979293758]},0.503699764787195,0.5082276658929104,0.5001457905625792,0.5023825906823796,0.49160439747897366,0.5012120418808076,0.005481270890235834,74
5.358566045761108,0.9286867675430495,0.10089082717895508,0.0016721272524981056,[0.0009598358894964641],{'coxnetsurvivalanalysis__alphas': [0.0009598358894964641]},0.5041323470538774,0.5086021812145812,0.5002564588532644,0.5030986255595944,0.49276255867722274,0.5017704342717081,0.005243079909225588,72
6.6189799308776855,1.8068110999219067,0.10002436637878417,0.0015092780522708825,[0.0009162098669674885],{'coxnetsurvivalanalysis__alphas': [0.0009162098669674885]},0.5040331755918954,0.508960097519225,0.4999986746312493,0.5037302566378558,0.49283079331909746,0.5019105995398646,0.005359295488677517,71
7.150162696838379,1.549066853835155,0.1018791675567627,0.0018536565406470638,[0.0008745667144921605],{'coxnetsurvivalanalysis__alphas': [0.0008745667144921605]},0.5037861595577561,0.5093418749108451,0.5001146443969373,0.5042210283960092,0.4936861632940273,0.502229974111115,0.00518529587145812,70
7.564886045455933,2.0627453932173463,0.0999220371246338,0.0013494542849682566,[0.0008348163075663028],{'coxnetsurvivalanalysis__alphas': [0.0008348163075663028]},0.5037581725194054,0.5094181266453127,0.5008674538473467,0.5047570763641973,0.4942899180270441,0.5026181494806612,0.004990765963803294,68
9.122300863265991,3.15986944932684,0.1013643741607666,0.0029389341851465997,[0.0007968726179835453],{'coxnetsurvivalanalysis__alphas': [0.0007968726179835453]},0.5030597133883907,0.5101189163954197,0.5008767314286017,0.5049169405132087,0.4944556307287399,0.5026855864908721,0.005125962029926504,67
10.783280944824218,3.499434714107899,0.10095353126525879,0.0017029494020018082,[0.0007606535276522685],{'coxnetsurvivalanalysis__alphas': [0.0007606535276522685]},0.5030408525581979,0.510165601130808,0.5005904517784461,0.5053593617507696,0.4948644293421145,0.5028041393120672,0.0050737702329608165,65
11.189455556869508,3.4077300010521188,0.10001077651977539,0.0019169035514520242,[0.0007260806508748526],{'coxnetsurvivalanalysis__alphas': [0.0007260806508748526]},0.5023387429439201,0.5098388079830898,0.500384356937709,0.5058627102339327,0.49549316282796035,0.5027835561853223,0.004865421230263979,66
10.843783283233643,2.7375031064973077,0.10037965774536133,0.0022426315715914458,[0.0006930791647046106],{'coxnetsurvivalanalysis__alphas': [0.0006930791647046106]},0.5019621347539391,0.5099109099633006,0.49974022772485877,0.5067598499512862,0.496751239037526,0.5030248722861821,0.004746458640814936,64
12.549210929870606,2.386910194342915,0.10033092498779297,0.002697522338334811,[0.0006615776470132592],{'coxnetsurvivalanalysis__alphas': [0.0006615776470132592]},0.5014547175803623,0.509795235563394,0.4994274406996887,0.5077877876087398,0.49787345520121606,0.5032677273306801,0.004694087477136998,63
14.216593933105468,3.192817449401291,0.10031375885009766,0.0013916746857399291,[0.0006315079219184742],{'coxnetsurvivalanalysis__alphas': [0.0006315079219184742]},0.5012764523143456,0.5095685552371195,0.49951756577473766,0.5086312666327188,0.4980933900736873,0.5034174460065218,0.004757279930318407,61
13.630039930343628,3.013649505133161,0.10095753669738769,0.002115149956780537,[0.0006028049122370015],{'coxnetsurvivalanalysis__alphas': [0.0006028049122370015]},0.5008639477056104,0.5098994981390945,0.4985328167929522,0.5089359028607299,0.49844492032691706,0.5033354171650608,0.005050597786562163,62
16.0166955947876,3.5043858274508817,0.1026583194732666,0.002908498218759378,[0.0005754064986440022],{'coxnetsurvivalanalysis__alphas': [0.0005754064986440022]},0.500993539861452,0.5100037607147951,0.4990430837619797,0.509574800491219,0.4978935600510541,0.5035017489761,0.005230309796347343,60
