,coefficient
LTBR,-0.0013758456145236085
LTO1,-0.000350845633949462
LXN,0.00020994987229235832
LY6D,0.0004355731656035408
LY75,0.0008914430815769398
LY96,0.0001659646207528518
LYAR,-0.0
LYN,0.0
LYPD1,-0.0001520433525918549
LYPD3,0.00020690816944024407
LYPD8,0.0
MAD1L1,0.0
MAEA,0.0001479369196858523
MAGED1,0.0
MANF,0.0
MANSC1,-0.0005713291350721797
MAP2K6,-0.0
MAP3K5,0.0006758660946166159
MAP4K5,0.001705698569250834
MAPK9,0.0006113583957261837
MAPT,6.44836362338344e-05
MARCO,-0.0
MASP1,-0.0
MATN2,-0.0
MATN3,-0.0002068688726149064
MAVS,0.0
MAX,0.0
MB,-0.0015678833301607604
MCAM,0.0
MCFD2,0.0
MDGA1,-0.0
MDK,-0.0
MED18,-0.0
MEGF10,0.0
MEGF9,9.384377280750366e-05
MEP1B,-0.00025104834946226764
MEPE,-0.0012538265917950518
MERTK,0.001265989017856929
MESD,0.0
MET,-0.0015009985781510831
METAP1,4.7340327122777905e-05
METAP1D,0.0
METAP2,-0.0
MFAP3,-7.419671888866728e-05
MFAP5,-0.0009620126821436459
MFGE8,-5.822977805115359e-06
MGLL,-0.0
MGMT,-0.00011047079958355078
MIA,-5.0536135527691844e-05
MICB_MICA,-0.00025295593624497144
MIF,0.0018758778174716572
MILR1,8.088682395612005e-05
MITD1,0.0
MLN,-0.0017539135957060907
MME,0.0003147517904422564
MMP10,0.0008063616849338466
MMP12,-0.0007430857546905984
MMP13,0.00024430224066386764
MMP3,-0.0
MMP7,8.450135474239148e-05
MMP8,0.00015398472735414368
MMP9,0.0
MNDA,0.0
MOG,0.001303823210369969
MPHOSPH8,0.0
MPI,0.0004014947399073745
MPIG6B,0.00029343306334262293
MPO,0.0004120694063429338
MRPL46,0.00011610993166443853
MSLN,0.0
MSMB,-0.0002315195813850167
MSR1,-0.0
MSRA,0.0
MSTN,0.0
MTPN,0.000238694455480469
MUC13,0.0007814353049406395
MUC16,0.0004361618481164024
MVK,0.0005315321256329439
MYO9B,0.0
MYOC,0.0008135868217999373
MZB1,1.1333390994672962e-05
MZT1,0.000573306447172148
NAAA,-0.00033334790266412786
NADK,-0.0021407436654468735
NAMPT,-0.0
NBL1,0.0
NBN,-0.00014319111139969774
NCAM1,-7.108126753451316e-05
NCAM2,0.0005191420432126722
NCAN,0.0009697088708003972
NCF2,0.0005118917549658729
NCK2,0.0028134215519432133
NCLN,0.0
NCR1,-0.0012370012304550784
NCS1,0.001709439695506641
NDRG1,0.0
NDUFS6,-0.0
NECTIN2,-0.0007605076305173322
NECTIN4,-0.0018962397438181905
NEFL,0.0006873047281429986
NELL1,-0.0013349691817879324
NELL2,-0.0017975601038707448
NFASC,-0.0005829749607072737
NFATC1,0.0
NFATC3,-0.000728365173375644
NFKBIE,-0.0
NGF,0.00021562372037160155
NID1,-0.0
NID2,0.0
NINJ1,-0.0
NME3,-0.0
NMNAT1,0.0
NOMO1,-0.0012062309911762604
NOS1,0.0007809766870206403
NOS3,3.9987794483903425e-05
NOTCH1,0.0014685464693198673
NOTCH3,0.0
NPDC1,0.0
NPPB,0.0010548852213710413
NPPC,-0.0
NPTN,-0.0
NPTX1,0.0004004708214690919
NPTXR,-4.9241369216439355e-05
NPY,0.000629342412393942
NRCAM,0.0
NRP1,0.0010577603671066435
NRP2,-0.0
NRTN,-4.82499685930395e-05
NSFL1C,0.0
NT5C3A,-0.0012185384260946415
NT5E,-0.0016207685074798013
NTF3,-0.0007302824115879493
NTF4,-0.001182702941592632
NTPROBNP,0.0006802587374806465
NTRK2,-0.0009702074225613736
NTRK3,-0.00020634368315351962
NUB1,0.0
NUCB2,0.0002285098913824353
NUDC,0.0
NUDT2,-0.0005604452752575161
NUDT5,0.0
NXPH1,-0.00022804293460502347
OBP2B,-0.0008968924065719783
ODAM,-0.0029581217553155898
OGFR,-2.3859742755098044e-05
OGN,0.0005489441743571705
OLR1,0.0003660062190693432
OMD,-0.0020410870413136053
OMG,0.0003747848523876423
OPTC,-0.00018043568476923158
OSCAR,-0.0
OSM,-0.0
OSMR,0.0005993390949975156
OXT,-0.00047743125891139455
P4HB,-0.0
PADI2,0.00020775087108583634
PADI4,-0.0
PAEP,-0.001072988166036589
PAG1,0.0002946973239622708
PAK4,-7.588352347753849e-05
PAM,0.0
PAMR1,0.0
PAPPA,0.00013789680826013152
PARK7,7.062058414058146e-05
PARP1,-0.0002897635173026856
PBLD,0.0005841152904533533
PCDH1,-0.0
PCDH17,0.0007703851050539365
PCSK9,0.0014715884287741946
PDCD1,0.001916424088199133
PDCD1LG2,0.0
PDCD5,0.000329780875219375
PDCD6,0.00044754763186016723
PDGFA,0.0
PDGFB,-0.0
PDGFC,0.0007362242118099997
PDGFRA,-0.000701694944305886
PDGFRB,6.89238532578386e-05
PDLIM7,-0.0
PDP1,-5.531129544437595e-05
PEAR1,0.0017541799074355655
PEBP1,0.0
PECAM1,-0.004864958700774074
PFDN2,0.0
PFKFB2,0.00033323599642404693
PGF,-0.0005510828565355225
PGLYRP1,-0.0
PHOSPHO1,0.0008765525632288575
PIGR,0.0
PIK3AP1,-0.00013814802242012854
PIK3IP1,-0.0003001606764621431
PILRA,0.0
PILRB,0.0001758642828543595
PKLR,-0.0007373299125725093
